model_name,dataset,rmse,mae,r2
Ridge,Solo Vivienda,277234.7193157705,162778.49772563434,0.5359518327164221
RandomForest,Solo Vivienda,222941.68202073686,119468.72862046552,0.6999107951687726
Ridge,Con Socioeconómicas,296985.14325496624,175579.26640274614,0.5601732219735343
RandomForest,Con Socioeconómicas,195641.752971677,97732.15391181788,0.8091310389000277
